sep=;
country_or_region;year;variable;generation_twh
World;2000;Bioenergy;153.5
World;2000;Clean;5398.34
World;2000;Coal;5809.26
World;2000;Fossil;9878.13
World;2000;Gas;2745.09
World;2000;Hydro;2628.56
World;2000;Nuclear;2540.46
World;2000;Other Fossil;1323.78
World;2000;Other Renewables;43.65
World;2000;Solar;1.03
World;2000;Wind;31.14
World;2000;Wind and solar;32.17
World;2001;Bioenergy;147.65
World;2001;Clean;5408.41
World;2001;Coal;5891.57
World;2001;Fossil;10090.31
World;2001;Gas;2914.23
World;2001;Hydro;2563.9
World;2001;Nuclear;2613.17
World;2001;Other Fossil;1284.51
World;2001;Other Renewables;44.15
World;2001;Solar;1.37
World;2001;Wind;38.17
World;2001;Wind and solar;39.54
World;2002;Bioenergy;161.02
World;2002;Clean;5527.52
World;2002;Coal;6145.67
World;2002;Fossil;10521.02
World;2002;Gas;3104.36
World;2002;Hydro;2611.97
World;2002;Nuclear;2654.78
World;2002;Other Fossil;1270.99
World;2002;Other Renewables;45.83
World;2002;Solar;1.71
World;2002;Wind;52.21
World;2002;Wind and solar;53.92
World;2003;Bioenergy;174.7
World;2003;Clean;5499.92
World;2003;Coal;6576.21
World;2003;Fossil;11126.32
World;2003;Gas;3255.04
World;2003;Hydro;2612.28
World;2003;Nuclear;2601.05
World;2003;Other Fossil;1295.07
World;2003;Other Renewables;46.61
World;2003;Solar;2.1
World;2003;Wind;63.18
World;2003;Wind and solar;65.28
World;2004;Bioenergy;190.51
World;2004;Clean;5848.07
World;2004;Coal;6798.48
World;2004;Fossil;11564.26
World;2004;Gas;3503.85
World;2004;Hydro;2801.66
World;2004;Nuclear;2719.41
World;2004;Other Fossil;1261.93
World;2004;Other Renewables;48.26
World;2004;Solar;2.78
World;2004;Wind;85.45
World;2004;Wind and solar;88.23
World;2005;Bioenergy;211.07
World;2005;Clean;6005.86
World;2005;Coal;7168.45
World;2005;Fossil;12126.4
World;2005;Gas;3679.83
World;2005;Hydro;2910.91
World;2005;Nuclear;2726.97
World;2005;Other Fossil;1278.12
World;2005;Other Renewables;48.59
World;2005;Solar;3.95
World;2005;Wind;104.37
World;2005;Wind and solar;108.32
World;2006;Bioenergy;225.27
World;2006;Clean;6193.43
World;2006;Coal;7567.98
World;2006;Fossil;12644.15
World;2006;Gas;3901.44
World;2006;Hydro;3017.21
World;2006;Nuclear;2761.59
World;2006;Other Fossil;1174.73
World;2006;Other Renewables;50.78
World;2006;Solar;5.42
World;2006;Wind;133.16
World;2006;Wind and solar;138.58
World;2007;Bioenergy;246.56
World;2007;Clean;6243.38
World;2007;Coal;8052.8
World;2007;Fossil;13468.29
World;2007;Gas;4220.48
World;2007;Hydro;3062.11
World;2007;Nuclear;2703.49
World;2007;Other Fossil;1195.01
World;2007;Other Renewables;52.82
World;2007;Solar;7.29
World;2007;Wind;171.11
World;2007;Wind and solar;178.4
World;2008;Bioenergy;263.25
World;2008;Clean;6492.3
World;2008;Coal;8075.52
World;2008;Fossil;13607.1
World;2008;Gas;4361.83
World;2008;Hydro;3245.08
World;2008;Nuclear;2694.72
World;2008;Other Fossil;1169.75
World;2008;Other Renewables;56.6
World;2008;Solar;11.85
World;2008;Wind;220.8
World;2008;Wind and solar;232.65
World;2009;Bioenergy;283.28
World;2009;Clean;6535.4
World;2009;Coal;7952.2
World;2009;Fossil;13405.47
World;2009;Gas;4383.28
World;2009;Hydro;3240.66
World;2009;Nuclear;2656.76
World;2009;Other Fossil;1069.99
World;2009;Other Renewables;58.67
World;2009;Solar;19.82
World;2009;Wind;276.21
World;2009;Wind and solar;296.03
World;2010;Bioenergy;325.96
World;2010;Clean;6917.45
World;2010;Coal;8459.77
World;2010;Fossil;14345.23
World;2010;Gas;4820.03
World;2010;Hydro;3427.74
World;2010;Nuclear;2725.91
World;2010;Other Fossil;1065.43
World;2010;Other Renewables;59.72
World;2010;Solar;32.2
World;2010;Wind;345.92
World;2010;Wind and solar;378.12
World;2011;Bioenergy;342.19
World;2011;Clean;7004.85
World;2011;Coal;8912.67
World;2011;Fossil;14951.77
World;2011;Gas;4866.09
World;2011;Hydro;3487.78
World;2011;Nuclear;2610.34
World;2011;Other Fossil;1173.01
World;2011;Other Renewables;61.08
World;2011;Solar;63.58
World;2011;Wind;439.88
World;2011;Wind and solar;503.46
World;2012;Bioenergy;372.71
World;2012;Clean;7154.25
World;2012;Coal;8962.01
World;2012;Fossil;15361.08
World;2012;Gas;5173.01
World;2012;Hydro;3660.31
World;2012;Nuclear;2432.22
World;2012;Other Fossil;1226.06
World;2012;Other Renewables;62.84
World;2012;Solar;96.99
