타임스탬프,나이,성별,직업,1. 한 달에 받는 용돈의 금액은 얼마인가요?(만동= 500원), 2. 용돈을 주로 어디에 사용하시나요?  ,3. 용돈을 일부 저축하나요?  ,4. 가끔 과소비를 한 경험이 있나요?  ,4-1. 구체적으로 어디에 과소비를 하셨나요?(위 항목에서 '예' 하신 분들만),5. 용돈을 사용할 때 미리 계획을 세우고 사용하시나요?  ,6. 금융 관련 지식을 얼마나 잘 알고 계신가요?  
11-14-2024 15:19:55,14~19,여성,학생,50만동~60만동,교통비,예,예,친구와 놀 때,예,알고 있으나 실천하지 않는다
11-14-2024 15:39:24,40 이상,남성,교사,필요한 만큼,취미,예,예,"골프 채 구입, 필드",아니오,상당히 잘 알고 있다
11-14-2024 15:50:20,8~13,남성,학생,필요한 만큼,교통비,아니오,아니오,,아니오,모른다
11-14-2024 15:52:20,27~40,여성,교사,필요한 만큼,월세,예,예,쇼핑,아니오,알고 있으나 실천하지 않는다
11-14-2024 15:53:09,14~19,남성,학생,100만동 이상,교통비,예,예,필요 이상의 양의 음식 주문 (음식 2-3개 시키기) ,예,알고 있으나 실천하지 않는다
11-14-2024 15:53:40,14~19,남성,학생,70만동~80만동,친구와 놀 때,예,아니오,,아니오,모른다
11-14-2024 15:58:48,14~19,여성,학생,50만동~60만동,교통비,예,예,친구들과 놀 때,예,알고 있으나 실천하지 않는다
11-14-2024 15:59:43,14~19,여성,학생,100만동 이상,친구와 놀 때,예,아니오,,아니오,상당히 잘 알고 있다
11-14-2024 16:00:03,14~19,남성,학생,10만동~20만동,음식,예,예,매점 flex 핫바 2개 음료수 2개 과자 2개,아니오,알고 있으나 실천하지 않는다
11-14-2024 16:00:08,14~19,여성,학생,90만동~100만동,친구와 놀 때,예,예,다이소에서 학용품 및 취미생활에,아니오,모른다
11-14-2024 16:03:32,8~13,남성,학생,내가 벌어서 쓴다,취미,아니오,예,,예,상당히 잘 알고 있다
