tavg,tmin,tmax,prcp,wdir,wspd,pres
25.1,23.0,30.0,6.867409948542024,28.0,11.8,1011.3
26.2,22.0,31.0,6.867409948542024,3.0,10.2,1010.5
27.3,22.0,32.0,6.867409948542024,357.0,6.8,1009.8
27.8,24.0,33.0,6.867409948542024,39.0,7.7,1009.4
27.6,24.0,32.0,6.867409948542024,31.0,6.4,1009.8
28.1,24.0,32.0,6.867409948542024,71.0,7.3,1008.8
28.1,24.0,34.0,6.867409948542024,57.0,7.1,1008.3
27.6,24.0,33.0,6.867409948542024,355.0,5.9,1008.2
26.9,23.0,32.0,6.867409948542024,37.0,7.1,1009.3
26.1,22.0,30.0,6.867409948542024,351.0,6.4,1010.0
26.3,22.0,32.0,6.867409948542024,347.0,7.1,1010.6
24.4,21.0,31.0,6.867409948542024,11.0,10.4,1011.3
23.7,19.0,28.0,6.867409948542024,323.0,7.3,1011.7
24.9,18.0,30.0,6.867409948542024,230.0,6.1,1011.1
25.6,21.0,31.0,6.867409948542024,97.0,7.2,1009.5
26.0,21.0,32.0,6.867409948542024,44.0,8.7,1009.7
25.9,22.0,32.0,6.867409948542024,59.0,10.1,1011.1
25.6,21.0,31.0,6.867409948542024,29.0,10.2,1011.6
24.4,20.0,28.0,6.867409948542024,317.0,6.7,1011.3
26.8,22.0,31.0,6.867409948542024,280.0,6.1,1010.5
27.2,24.0,32.0,6.867409948542024,236.0,8.3,1009.8
26.4,24.0,30.0,6.867409948542024,211.0,8.9,1009.6
27.1,24.0,32.0,6.867409948542024,123.0,8.1,1009.9
26.8,24.0,31.0,6.867409948542024,139.0,8.5,1010.5
27.2,24.0,32.0,6.867409948542024,92.0,7.0,1010.0
27.8,25.0,33.0,6.867409948542024,90.0,6.9,1009.2
27.4,24.0,33.0,6.867409948542024,92.0,7.8,1009.3
26.9,24.0,33.0,6.867409948542024,64.0,7.8,1010.6
26.8,23.0,33.0,6.867409948542024,17.0,7.9,1011.2
26.6,21.0,31.0,6.867409948542024,340.0,6.1,1011.5
